label,text
ALK,ALK
POLE,POLE
FOXL2,FOXL2
BRAF,BRAF
TP53,TP53
PTEN,PTEN
RAD50,RAD50
HRAS,HRAS
BRCA1,BRCA1
BRCA2,BRCA2
EGFR,EGFR
AKT1,AKT1
PDGFRA,PDGFRA
ROS1 (domaine tyrosine kinase),ROS1 (domaine tyrosine kinase)
CTNNB1,CTNNB1
RB1,RB1
IDH2,IDH2
KRAS,KRAS
PALB2,PALB2
KIT,KIT
STK11,STK11
ERBB2 (HER2),ERBB2 (HER2)
FGFR2,FGFR2
PIK3CA,PIK3CA
BARD1,BARD1
FGFR4,FGFR4
RET (domaine tyrosine kinase),RET (domaine tyrosine kinase)
FGFR1,FGFR1
ARID1A,ARID1A
MET,MET
IDH1,IDH1
PMS2,PMS2
NRAS,NRAS
ATM,ATM
PI3KCA,PI3KCA
FANCA,FANCA
MAP2K1,MAP2K1
MLH1,MLH1
APC,APC
MSH2,MSH2
RAD51B,RAD51B
MSH6,MSH6
KEAP1,KEAP1
FGFR3,FGFR3
RAD51D,RAD51D
CDK12,CDK12
RAD51C,RAD51C
BRIP1,BRIP1
CHEK2,CHEK2
NBN,NBN
DICER1,DICER1
SMARCA4,SMARCA4
KMT2B,KMT2B
PPP2R1A,PPP2R1A
AR,AR
BCORL1,BCORL1
ESR1,ESR1
ESR2,ESR2
GNAS,GNAS
MYOD1,MYOD1
POLD1,POLD1
TERT (promoteur),TERT (promoteur)
CKIT,CKIT
b-catenine,b-catenine
CKIT/DOG1,CKIT/DOG1
FOXL2/DICER,FOXL2/DICER
ETV6-NTRK3,ETV6-NTRK3
MYB-NFIB,MYB-NFIB
PDGFRA/FGFR1,PDGFRA/FGFR1
MDM2,MDM2
N-MYC,N-MYC
C-MYC,C-MYC
BCR-ABL1,BCR-ABL1
COL1A1,COL1A1
DDIT3,DDIT3
EWSR2,EWSR2
SYT,SYT
FUS,FUS
IGH-BCL2,IGH-BCL2
JAZF1,JAZF1
FOXO1A,FOXO1A
TFE3,TFE3
HPV,HPV
Merkell,Merkell
EBER,EBER
PSA,PSA
CA125,CA125
CA153,CA153
CA199,CA199
Ki67,Ki67
Nb mitoses,Nb mitoses
RO,RO
RP,RP
HER2,HER2
PD-L1,PD-L1
AMHR2,AMHR2
P53,P53
BRCA,BRCA
MSI,MSI
NRAS-KRAS,NRAS-KRAS
ROS1,ROS1
C-MET,C-MET
PAM50,PAM50
Other,Other
